Task name,Status,Assignee,Finished,Priority,Tags,Project,Parent-task,Sub-tasks
Notifications: Add animations for deletion of notis,Done,Paul Bauer,"August 17, 2023",Low,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Notifications: Add delete button to all notifications,Done,Paul Bauer,,Medium,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Notifications: Finish creating HTML elements for all notis,Done,Paul Bauer,"August 21, 2023",High,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Toast Notifications: Modify behavior,Done,"Paul Bauer, Eric","August 20, 2023",Medium,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Notifications: Implement “read” and “unread” notis,Done,Paul Bauer,,Low,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Notifications: Add date to notifications.,Done,Paul Bauer,,Low,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Notifications: Add confirmation for accept/reject action,Done,Paul Bauer,,Low,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"Notifications: make toast, manage, triangle work when scrolled down page",Done,Caleb Early,"August 20, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Single File Upload,Done,Caleb Early,"August 7, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Edit/Update Mission Properties,Done,Caleb Early,"August 7, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
"Manage Contestants (Remove/Ban, Unban)",Done,Caleb Early,"August 12, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Fix Leaderboard for Tied Contestants,Done,Caleb Early,"August 10, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Clean up index.html. It aint perfect but good enough for now.,Done,Eric,"August 13, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
Redirect users with successful Login to contests/search,Done,Eric,"August 11, 2023",,,8 - Aug 7 - Aug 21 (Sprints%20d3ab014ae4024c96a1e8ffc2fb453e64/8%20-%20Aug%207%20-%20Aug%2021%20d65d6ed3db09427db8f7c113173346bc.csv),,
